,code,name,date,weight
435,002277,友阿股份,2017-06-01,0.15
436,000703,恒逸石化,2017-06-01,0.18
437,000937,冀中能源,2017-06-01,0.17
438,000620,新华联,2017-06-01,0.15
439,600970,中材国际,2017-06-01,0.26
440,600397,安源煤业,2017-06-01,0.07
441,002595,豪迈科技,2017-06-01,0.24
442,000761,本钢板材,2017-06-01,0.04
443,600219,南山铝业,2017-06-01,0.49
444,002460,赣锋锂业,2017-06-01,0.58
445,000999,华润三九,2017-06-01,0.33
446,002572,索菲亚,2017-06-01,0.58
447,601311,骆驼股份,2017-06-01,0.16
448,000758,中色股份,2017-06-01,0.21
449,600220,江苏阳光,2017-06-01,0.13
450,600694,大商股份,2017-06-01,0.18
451,600528,中铁工业,2017-06-01,0.35
452,600086,东方金钰,2017-06-01,0.21
453,601699,潞安环能,2017-06-01,0.23
454,000631,顺发恒业,2017-06-01,0.08
455,600260,凯乐科技,2017-06-01,0.28
456,002437,誉衡药业,2017-06-01,0.16
457,600062,华润双鹤,2017-06-01,0.26
458,600392,盛和资源,2017-06-01,0.18
459,601168,西部矿业,2017-06-01,0.35
460,002050,三花智控,2017-06-01,0.27
461,601001,大同煤业,2017-06-01,0.12
462,600143,金发科技,2017-06-01,0.25
463,600497,驰宏锌锗,2017-06-01,0.27
464,000012,南 玻Ａ,2017-06-01,0.22
465,600657,信达地产,2017-06-01,0.12
466,600586,金晶科技,2017-06-01,0.12
467,002191,劲嘉股份,2017-06-01,0.23
468,600216,浙江医药,2017-06-01,0.15
469,000861,海印股份,2017-06-01,0.11
470,600971,恒源煤电,2017-06-01,0.1
471,000025,特 力Ａ,2017-06-01,0.05
472,000541,佛山照明,2017-06-01,0.15
473,600808,马钢股份,2017-06-01,0.26
474,600282,南钢股份,2017-06-01,0.17
475,601233,桐昆股份,2017-06-01,0.12
476,002221,东华能源,2017-06-01,0.25
477,600280,中央商场,2017-06-01,0.12
478,603883,老百姓,2017-06-01,0.13
479,600917,重庆燃气,2017-06-01,0.04
480,000960,锡业股份,2017-06-01,0.23
481,600176,中国巨石,2017-06-01,0.33
482,002078,太阳纸业,2017-06-01,0.23
483,000975,银泰资源,2017-06-01,0.22
484,600335,国机汽车,2017-06-01,0.09
