code,name,date,weight,abbr,symbol
600887,伊利股份,2017-09-01,1.31,ylgf,600887.ss
600518,康美药业,2017-09-01,0.56,kmyy,600518.ss
600690,青岛海尔,2017-09-01,0.39,qdhe,600690.ss
002146,荣盛发展,2017-09-01,0.16,rsfz,002146.sz
600663,陆家嘴,2017-09-01,0.16,ljz,600663.ss
000157,中联重科,2017-09-01,0.19,zlzk,000157.sz
601163,三角轮胎,2017-09-01,0.05,sjlt,601163.ss
600015,华夏银行,2017-09-01,0.56,hxyh,600015.ss
600372,中航电子,2017-09-01,0.08,zhdz,600372.ss
000413,东旭光电,2017-09-01,0.22,dxgd,000413.sz
600482,中国动力,2017-09-01,0.08,zgdl,600482.ss
600023,浙能电力,2017-09-01,0.21,zndl,600023.ss
601633,长城汽车,2017-09-01,0.14,ccqc,601633.ss
601018,宁波港,2017-09-01,0.22,nbg,601018.ss
601186,中国铁建,2017-09-01,0.52,zgtj,601186.ss
600705,中航资本,2017-09-01,0.25,zhzb,600705.ss
000961,中南建设,2017-09-01,0.06,znjs,000961.sz
600118,中国卫星,2017-09-01,0.15,zgwx,600118.ss
601328,交通银行,2017-09-01,1.64,jtyh,601328.ss
600688,上海石化,2017-09-01,0.13,shsh,600688.ss
601375,中原证券,2017-09-01,0.07,zyzq,601375.ss
601985,中国核电,2017-09-01,0.33,zghd,601985.ss
600018,上港集团,2017-09-01,0.19,sgjt,600018.ss
601901,方正证券,2017-09-01,0.34,fzzq,601901.ss
600104,上汽集团,2017-09-01,0.95,sqjt,600104.ss
601006,大秦铁路,2017-09-01,0.5,dqtl,601006.ss
600068,葛洲坝,2017-09-01,0.27,gzb,600068.ss
600021,上海电力,2017-09-01,0.09,shdl,600021.ss
002500,山西证券,2017-09-01,0.19,sxzq,002500.sz
600089,特变电工,2017-09-01,0.35,tbdg,600089.ss
601555,东吴证券,2017-09-01,0.28,dwzq,601555.ss
000728,国元证券,2017-09-01,0.24,gyzq,000728.sz
600816,安信信托,2017-09-01,0.21,axxt,600816.ss
601800,中国交建,2017-09-01,0.22,zgjj,601800.ss
600837,海通证券,2017-09-01,1.14,htzq,600837.ss
601788,光大证券,2017-09-01,0.29,gdzq,601788.ss
600900,长江电力,2017-09-01,0.91,cjdl,600900.ss
600362,江西铜业,2017-09-01,0.19,jxty,600362.ss
002252,上海莱士,2017-09-01,0.28,shls,002252.sz
000623,吉林敖东,2017-09-01,0.2,jlad,000623.sz
601818,光大银行,2017-09-01,0.61,gdyh,601818.ss
601618,中国中冶,2017-09-01,0.25,zgzy,601618.ss
601608,中信重工,2017-09-01,0.08,zxzg,601608.ss
601600,中国铝业,2017-09-01,0.49,zgly,601600.ss
601390,中国中铁,2017-09-01,0.6,zgzt,601390.ss
601288,农业银行,2017-09-01,1.3,nyyh,601288.ss
601099,太平洋,2017-09-01,0.27,tpy,601099.ss
600685,中船防务,2017-09-01,0.08,zcfw,600685.ss
600682,南京新百,2017-09-01,0.15,njxb,600682.ss
600485,信威集团,2017-09-01,0.24,xwjt,600485.ss
600415,小商品城,2017-09-01,0.18,xspc,600415.ss
600383,金地集团,2017-09-01,0.24,jdjt,600383.ss
600332,白云山,2017-09-01,0.14,bys,600332.ss
600233,圆通速递,2017-09-01,0.06,ytsd,600233.ss
600157,永泰能源,2017-09-01,0.17,ytny,600157.ss
600153,建发股份,2017-09-01,0.16,jfgf,600153.ss
600150,中国船舶,2017-09-01,0.16,zgcb,600150.ss
600074,保千里,2017-09-01,0.09,bql,600074.ss
600000,浦发银行,2017-09-01,1.32,pfyh,600000.ss
300104,乐视网,2017-09-01,0.34,lsw,300104.sz
002739,万达电影,2017-09-01,0.22,wddy,002739.sz
002470,金正大,2017-09-01,0.12,jzd,002470.sz
